frame_idx,adl_rng_0,adl_vel_0,adl_agl_0,adl_type_0,adl_rng_1,adl_vel_1,adl_agl_1,adl_type_1,adl_rng_2,adl_vel_2,adl_agl_2,adl_type_2,tar_mgr_rng_0,tar_mgr_vel_0,tar_mgr_agl_0,tar_mgr_solidity_0,tar_mgr_type_0,tar_mgr_rng_1,tar_mgr_vel_1,tar_mgr_agl_1,tar_mgr_solidity_1,tar_mgr_type_1,tar_mgr_rng_2,tar_mgr_vel_2,tar_mgr_agl_2,tar_mgr_solidity_2,tar_mgr_type_2,dyn_rng_0,dyn_vel_0,dyn_agl_0,dyn_q_0,dyn_ai_0,dyn_overlap_0,dyn_rng_1,dyn_vel_1,dyn_agl_1,dyn_q_1,dyn_ai_1,dyn_overlap_1,dyn_rng_2,dyn_vel_2,dyn_agl_2,dyn_q_2,dyn_ai_2,dyn_overlap_2,dyn_rng_3,dyn_vel_3,dyn_agl_3,dyn_q_3,dyn_ai_3,dyn_overlap_3,sta_rng_0,sta_vel_0,sta_agl_0,sta_q_0,sta_ai_0,sta_rng_1,sta_vel_1,sta_agl_1,sta_q_1,sta_ai_1,sta_rng_2,sta_vel_2,sta_agl_2,sta_q_2,sta_ai_2,sta_rng_3,sta_vel_3,sta_agl_3,sta_q_3,sta_ai_3
20,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,6,0.22008,57.0,0.85224,0.95945,0.0,31,0.3668,63.0,0.30534,0.05674,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,5.33333,0.5,43.66667,40,0,0.0,0.0,0.0,0,0,0,0,0,0,0,6,0.3668,55.0,0.83212,0.97591,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,5.0,-0.33333,46.5,50,0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0.3668,55.0,0.69702,0.85228,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,4.93333,-0.08333,48.8,40,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,4.90333,-0.0375,53.6,30,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,4.8765,-0.28354,55.845,20,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,4.4765,0.0,59.045,30,0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,-0.22008,70.0,0.61454,0.03001,0.0,30,-0.07336,-70.0,0.35285,0.07498,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,4.4765,-0.16667,34.045,40,0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,-0.14672,-70.0,0.88371,0.08505,0.0,36,0.07336,-70.0,0.54298,0.78212,0.5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,4.34317,-0.2125,10.245,50,0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,-0.07336,-61.0,0.58323,0.0896,0.0,16,0.22008,-43.0,0.25519,0.01697,0.5,34,0.07336,-54.0,0.76795,0.99388,0.625,42,0.22008,-59.0,0.26695,0.27127,1.0,34.0,0.0,-55.0,1.0,0.99388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.64748,-0.21646,8.12,0,0.0,0.0,0.0,0,0,0,0,0,4.17317,-0.21646,-11.755,60,0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,-0.07336,-53.0,0.74471,0.04287,0.0,11,-0.14672,-32.0,0.31428,0.01777,0.4444444444444444,34,-0.07336,-59.0,0.78927,0.99223,0.375,0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,-57.0,1.0,0.99223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.62186,0.0,-12.14,0,0.0,0.0,0.0,0,0,0,0,0,4.0,0.0,-32.6,70,0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0.07336,-49.0,0.80958,0.83863,0.0,34,-0.07336,-57.0,0.76223,0.98123,0.6666666666666666,35,0.3668,-56.0,0.45451,0.04567,0.0,42,-0.07336,-57.0,0.56267,0.88439,1.0,20.0,0.0,70.0,0.49241,0.14304,33.0,0.0,-61.0,0.88902,0.98123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.61093,0.0,-34.85125,0,0.0,0.0,0.0,0,0,0,0,0,4.0,0.0,-56.0,80,0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0.07336,-47.0,0.82515,0.15311,0.0,29,-0.29344,-49.0,0.56844,0.02895,0.3333333333333333,39,0.07336,-46.0,0.83332,0.92165,1.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,70.0,0.492,0.1849,33.0,0.0,-58.0,0.93505,0.97718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.60484,0.0,-43.06938,0,0.0,0.0,0.0,0,0,0,0,0,4.0,0.0,-49.8,90,0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,-0.22008,-39.0,0.86079,0.01483,0.0,31,-0.22008,-60.0,0.61781,0.85428,0.625,39,-0.07336,-54.0,0.66698,0.18573,1.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,68.0,0.49538,0.13421,33.0,0.0,-56.0,0.90351,0.85428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.60162,0.0,-34.02219,0,0.0,0.0,0.0,0,0,0,0,0,4.0,0.0,-23.6,100,0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,-0.3668,70.0,0.88837,0.96123,0.0,19,-0.14672,-27.0,0.40865,0.43312,0.6,30,-0.3668,-54.0,0.42727,0.37805,1.0,33,-0.07336,-57.0,0.77331,0.62869,0.2,18.0,0.0,-14.0,0.81642,0.10727,34.0,0.0,-55.0,0.90019,0.62869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.6,0.0,-27.4625,0,0.0,0.0,0.0,0,0,0,0,0,4.0,0.0,-19.6,110,0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,-0.51352,-33.0,0.84429,0.34867,0.0,20,-0.07336,-18.0,0.4504,0.05059,0.0,31,-0.22008,-56.0,0.69215,0.98481,0.5454545454545454,45,-0.07336,-39.0,0.55233,0.01866,0.5,18.0,0.0,-13.0,0.84517,0.05059,34.0,0.0,-56.0,0.92782,0.98481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
